state,company,city,employees,industrial,watt,as_of,source
TX,Gulf Plastics Manufacturing Inc,Flint,656,Y,100,2026-09-12,fixture:TX
TX,Apex Distribution Center,Houston,579,Y,100,2026-09-12,fixture:TX
TX,Riverside Foods Processing,Houston,504,Y,100,2026-09-12,fixture:TX
OH,Delta Auto Assembly,Houston,639,Y,100,2026-09-12,fixture:OH
OH,Pinnacle Call Center,Lubbock,659,Y,100,2026-09-12,fixture:OH
MI,Gulf Plastics Manufacturing Inc,Lubbock,895,Y,100,2026-09-12,fixture:MI
MI,Riverside Foods Processing,Lubbock,375,Y,98,2026-09-12,fixture:MI
OH,Lone Star Steel Fabrication,Houston,288,Y,89,2026-09-12,fixture:OH
MI,Apex Distribution Center,Dayton,207,Y,81,2026-09-12,fixture:MI
MI,Lone Star Steel Fabrication,Lubbock,180,Y,78,2026-09-12,fixture:MI
MI,Midwest Paper Mill LLC,Toledo,165,Y,76,2026-09-12,fixture:MI
OH,Gulf Plastics Manufacturing Inc,Lubbock,123,Y,72,2026-09-12,fixture:OH
OH,Apex Distribution Center,Dayton,110,Y,71,2026-09-12,fixture:OH
TX,Lone Star Steel Fabrication,Toledo,98,Y,70,2026-09-12,fixture:TX
TX,Metro Office Services,Lubbock,156,N,48,2026-09-12,fixture:TX
